time,open,high,low,close
6/19/2020,492083.98,500287.11,481344.21,500287.11,16.00
6/22/2020,499056.51,510067.67,486853.18,510050.32,8.00
6/23/2020,509950.46,512427.35,501090.18,512427.35,18.00
6/24/2020,515813.13,555613.88,515813.13,555613.88,3.00
6/25/2020,552882.68,554296.35,526140.85,549392.88,24.00
6/26/2020,545907.45,559501.64,528083.28,548288.06,25.00
6/29/2020,543537.86,592949.00,543537.86,592929.96,4.00
6/30/2020,613731.54,633935.45,612646.05,633914.88,4.00
7/1/2020,635142.60,646636.29,620242.89,646614.33,8.00
7/2/2020,643934.48,644012.32,618027.64,630156.34,30.00
7/6/2020,629762.02,639964.17,621363.28,630544.10,14.00
7/7/2020,624753.87,645022.25,617047.56,645022.25,14.00
7/8/2020,644122.34,646395.34,606848.91,621500.16,32.00
7/9/2020,619010.00,619010.00,594850.80,614331.74,31.00
7/10/2020,612059.32,653184.05,609810.28,653162.85,5.00
7/13/2020,653064.97,733866.08,638004.58,733866.08,15.00
7/14/2020,750367.04,789196.49,738583.41,789171.14,10.00
7/15/2020,788420.28,788420.28,748228.72,753414.78,23.00
7/16/2020,747239.22,749718.33,730395.18,749692.29,20.00
7/17/2020,748075.01,748462.77,733169.95,740328.60,16.00
7/20/2020,740556.22,825445.02,740556.22,825419.49,4.00
7/21/2020,825883.71,825883.71,789110.59,812300.04,22.00
7/22/2020,806737.90,806737.90,776658.84,783883.09,35.00
7/23/2020,783499.93,834055.98,763272.27,834055.98,16.00
7/24/2020,828893.92,842789.80,824294.22,842760.94,15.00
7/27/2020,836340.96,842716.50,809812.23,834063.55,24.00
7/28/2020,838022.25,838022.25,781788.00,806521.40,32.00
7/29/2020,802746.82,802746.82,773336.26,780275.91,21.00
7/30/2020,784511.26,815485.16,776777.96,815458.21,10.00
7/31/2020,824167.34,847491.18,807493.24,847463.05,15.00
8/3/2020,843008.43,849701.27,799887.06,799887.06,21.00
8/4/2020,800243.79,805565.80,790538.63,802862.11,18.00
8/5/2020,802240.75,802240.75,755405.03,758341.38,45.00
8/6/2020,756103.58,794983.47,756103.58,794957.37,6.00
8/7/2020,792374.26,794609.55,765049.26,794609.55,16.00
8/10/2020,793529.27,817453.86,790928.68,817222.22,13.00
8/11/2020,825698.36,845838.31,798429.08,845838.31,12.00
8/12/2020,852159.31,898679.32,851373.07,898650.19,4.00
8/13/2020,889517.45,889517.45,855043.04,869203.30,22.00
8/14/2020,868664.01,868664.01,843111.01,847781.15,31.00
8/17/2020,845274.96,849482.80,838217.39,847205.17,13.00
8/18/2020,852106.77,870305.76,851920.26,870276.62,6.00
8/19/2020,868523.96,884120.76,867993.04,884120.76,15.00
8/20/2020,943607.00,943607.00,943576.62,943576.62,2.00
8/21/2020,942363.87,942363.87,908712.83,926267.12,18.00
8/24/2020,925098.47,946574.87,922728.66,931496.06,17.00
8/25/2020,928073.16,928073.16,893565.68,926808.27,12.00
8/26/2020,923324.73,948864.24,893041.88,948832.48,16.00
8/27/2020,955285.96,955285.96,885124.95,887829.36,22.00
8/28/2020,883459.68,883459.68,829986.56,833845.42,28.00
8/31/2020,828691.34,830289.84,819513.99,830261.28,9.00
9/1/2020,835035.53,852545.32,827733.27,852516.91,9.00
9/2/2020,854740.56,881454.02,852035.52,881424.87,13.00
9/3/2020,869363.37,956539.23,839204.78,956539.23,7.00
9/4/2020,970839.78,1082120.37,965585.59,1015045.39,22.00
9/8/2020,989771.97,989771.97,896972.07,964800.29,26.00
9/9/2020,957801.79,986256.79,942988.95,986223.61,14.00
9/10/2020,975222.13,1009972.41,896952.62,1009972.41,24.00
9/11/2020,1002474.90,1009804.14,943569.65,960301.90,17.00
9/14/2020,952148.85,971237.36,952148.85,970371.11,6.00
9/15/2020,965879.51,971968.98,957940.30,961519.90,14.00
9/16/2020,958598.93,1000355.93,944711.41,1000355.93,20.00
9/17/2020,1010967.59,1010967.59,919958.53,936120.37,30.00
9/18/2020,946424.63,974013.13,926861.22,941899.78,16.00
9/21/2020,924910.66,948399.75,887005.56,948367.28,19.00
9/22/2020,941483.76,988459.21,932940.10,988426.56,12.00
9/23/2020,993771.94,1070584.19,977641.41,1070584.19,16.00
9/24/2020,1060965.42,1060965.42,983655.33,984102.35,25.00
9/25/2020,978884.90,1037895.20,948376.36,1037861.31,11.00
9/28/2020,1035869.88,1036440.60,982816.11,1009322.97,27.00
9/29/2020,1006660.25,1007973.44,936589.09,944441.61,32.00
9/30/2020,941983.53,965008.02,917715.16,917715.16,24.00
10/1/2020,915858.59,915858.59,869940.48,876684.03,27.00
10/2/2020,891760.14,893296.69,844797.59,893296.69,17.00
10/5/2020,892521.67,922758.00,889906.94,922727.30,10.00
10/6/2020,923255.10,951861.82,907105.17,951861.82,13.00
10/7/2020,957065.92,972376.85,951054.77,972344.14,10.00
10/8/2020,978098.76,978098.76,944119.86,944119.86,33.00
10/9/2020,942085.99,967516.89,940495.56,967484.49,11.00
10/12/2020,963581.84,1009345.10,954579.35,1009311.96,7.00
10/13/2020,1021152.90,1021152.90,961909.97,971863.66,28.00
10/14/2020,966553.58,995851.78,958826.35,964905.53,18.00
10/15/2020,981158.25,981595.46,956682.62,981562.37,16.00
10/16/2020,982202.08,1004362.25,965259.98,1004362.25,22.00
10/19/2020,1003220.94,1105844.82,1003220.94,1105844.82,4.00
10/20/2020,1104874.10,1106428.30,1035187.40,1047708.49,20.00
10/21/2020,1071559.75,1071559.75,1004756.45,1025276.56,31.00
10/22/2020,1023984.34,1040974.87,1010953.33,1040939.67,18.00
10/23/2020,1056553.75,1056553.75,996738.28,1024657.24,25.00
10/26/2020,1042346.02,1092836.84,1042346.02,1092836.84,3.00
10/27/2020,1092643.87,1092643.87,1048050.56,1057158.02,31.00
10/28/2020,1052449.74,1125142.18,1052449.74,1125142.18,7.00
10/29/2020,1118735.65,1158309.55,1114050.98,1158270.84,6.00
10/30/2020,1148768.65,1206083.65,1130171.40,1206083.65,8.00
11/2/2020,1200712.91,1226789.97,1185914.47,1226789.97,8.00
11/3/2020,1232342.29,1283799.44,1228505.24,1239119.33,21.00
11/4/2020,1238420.41,1285576.10,1238420.41,1267741.96,10.00
11/5/2020,1268736.94,1268736.94,1198293.06,1201525.43,27.00
11/6/2020,1230175.51,1283777.76,1230175.51,1283736.60,3.00
11/9/2020,1277471.49,1378328.81,1228436.35,1378328.81,10.00
11/10/2020,1363659.29,1365825.66,1202553.15,1202553.15,31.00
11/11/2020,1197465.57,1232643.51,1183635.36,1232602.28,9.00
11/12/2020,1231203.38,1231203.38,1165130.68,1206952.46,18.00
11/13/2020,1201298.26,1201298.26,1174147.15,1199783.74,18.00
11/16/2020,1189384.96,1189384.96,1131048.86,1146946.79,26.00
11/17/2020,1139083.49,1139211.70,1102156.25,1112458.48,26.00
11/18/2020,1111391.05,1111391.05,1057016.38,1083208.25,23.00
11/19/2020,1076778.46,1105490.61,1066676.19,1105453.49,8.00
11/20/2020,1104658.80,1104658.80,1050551.68,1079710.84,40.00
11/23/2020,1080598.96,1105735.79,1065405.12,1065405.12,33.00
11/24/2020,1075022.42,1111044.47,1055193.68,1111007.98,13.00
11/25/2020,1107359.85,1107359.85,1067218.40,1082033.88,21.00
11/27/2020,1079238.05,1081414.55,1067087.47,1079804.66,10.00
11/30/2020,1078218.90,1098447.06,1065404.62,1098410.11,14.00
12/1/2020,1100120.46,1119979.13,1097459.57,1105584.42,15.00
12/2/2020,1116382.43,1154251.67,1116382.43,1154213.88,3.00
12/3/2020,1156488.93,1156488.93,1120187.83,1128026.90,31.00
12/4/2020,1125021.55,1126024.23,1101801.14,1110045.55,25.00
12/7/2020,1125586.23,1125586.23,1095674.93,1101569.72,30.00
